name,year,general,location,terrain,attacker_troops,defender_troops,attacker_tactics,defender_tactics,outcome,key_lesson,general_insight
Military history of Italy during World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The participation of Italy in the Second World War was characterized by a complex framework of ideology, politics, and diplomacy, while its military actions were often heavily influenced by external f"
Napoleonic Wars in fiction,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Napoleonic Wars were a defining event of the early 19th century, and inspired many works of fiction, from then until the present day.

Napoleon himself wrote Clisson et Eugénie (1795), a romantic "
Origins of the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The origins of the American Civil War were rooted in the desire of the Southern states to preserve and expand the institution of slavery. Historians in the 21st century overwhelmingly agree on the cen
Bannockburn,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Bannockburn (Scottish Gaelic: Blàr Allt nam Bànag or Blàr Allt a' Bhonnaich) was fought on 23–24 June 1314, between the army of Robert the Bruce, King of Scots, and the army of King Edwa"
Ancient Greek warfare,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Warfare occurred throughout the history of Ancient Greece, from the Greek Dark Ages onward. The Greek 'Dark Ages' drew to an end as a significant increase in population allowed urbanized culture to be"
No Campaign (UK),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The  'no' campaign was a Eurosceptic campaign in the United Kingdom beginning in 2000 which was opposed to the UK's adoption of the euro.  The campaign was funded by Business for Sterling and New Euro
Urga,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Urga was a battle to restore Mongolian independence. During 1 to 4 February 1921, Ungern's army defeated the numerically superior Chinese garrison and subsequently liberated Mongolia fro"
Permanent campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Permanent campaign is a political science theory and phrase.
The concept of a permanent campaign also describes the focus which recent presidents have given to electoral concerns during their tenures "
In Arab,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of In Arab (Arabic:فن السبة) was a two-day-long armed confrontation between a unit of the MNLA and a group of MOJWA fighters. The battle resulted in an Azawad victory but both sides suffere
Military history of South Africa during World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"During World War II, many South Africans saw military service. The Union of South Africa participated with other British Empire forces in battles in North Africa against Erwin Rommel and his Afrika Ko"
List of battles by geographic location,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This list of battles is organized geographically, by country in its present territory."
Friedland,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Friedland (14 June 1807) was a major engagement of the Napoleonic Wars between the armies of the French Empire and the Russian Empire led by Napoleon I and General Levin August von Benni
Musgrove Mill,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Musgrove Mill, August 19, 1780, occurred near a ford of the Enoree River, near the present-day border between Spartanburg, Laurens and Union Counties in South Carolina during the America"
Basing,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Basing was a victory of a Viking army over the West Saxons at the royal estate of Basing in Hampshire on about 22 January 871.
In late December 870 the Vikings invaded Wessex and occupie"
The Vietnam War (TV series),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Vietnam War is a 10-part American television documentary series about the Vietnam War produced and directed by Ken Burns and Lynn Novick, written by Geoffrey C. Ward, and narrated by Peter Coyote."
Ilipa,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Ilipa () was an engagement considered by many as Scipio Africanus’s most brilliant victory in his military career during the Second Punic War in 206 BC. It may have taken place on a plai
Chipyong-ni,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Chipyong-ni (French: Bataille de Chipyong-ni), also known as the Battle of Dipingli (Chinese: 砥平里战斗; pinyin: Dǐpínglǐ Zhàndòu), was a decisive battle of the Korean War that took place fr"
Mafeking,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The siege of Mafeking was a 217-day siege battle for the town of Mafeking (now called Mahikeng) in South Africa during the Second Boer War from October 1899 to May 1900. The siege received considerabl
Chosin Reservoir,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Chosin Reservoir, also known as the Chosin Reservoir Campaign or the Battle of Lake Changjin (Korean: 장진호 전투; Hanja: 長津湖戰鬪; RR: Jangjinho jeontu; MR: Changjinho chŏnt'u), was an importan"
Megiddo (15th century BC),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Megiddo (fought 15th century BC) was fought between Egyptian forces under the command of Pharaoh Thutmose III and a large rebellious coalition of Canaanite vassal states led by the king 
Saint Kitts,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Saint Kitts, also known as the Battle of Frigate Bay, was a naval battle fought on 25 and 26 January 1782 during the American Revolutionary War between a British fleet under Rear Admiral"
List of protests against the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Protests against the Vietnam War took place in the 1960s and 1970s. The protests were part of a movement in opposition to United States involvement in the Vietnam War. The majority of the protests wer
Melantias,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Melantias or Battle of Melanthius (Greek: Μάχη τής Μελαντιάς), which took place in 559, was a battle between the armies of the Kutrigurs, commanded by Zabergan, and the Byzantine Empire,"
Second Balkan War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Second Balkan War (29 June – 10 August 1913) was a conflict fought between the Kingdom of Bulgaria and its former Balkan League allies, Serbia and Greece, who were later joined by Romania and the "
1968 in the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The year 1968 saw major developments in the Vietnam War. The military operations started with an attack on a US base by the North Vietnamese People's Army of Vietnam (PAVN) and the Viet Cong (VC) on J
The China,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of China (1944) was the sixth film of Frank Capra's Why We Fight propaganda film series.
Kadesh,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Kadesh took place in the 13th century BC between the Egyptian Empire led by pharaoh Ramesses II and the Hittite Empire led by king Muwatalli II. Their armies engaged each other at the Or
Orléans,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The siege of Orléans (12 October 1428 – 8 May 1429) marked a turning point of the Hundred Years' War between France and England. The siege took place at the pinnacle of English power during the later 
Cape Ecnomus,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Cape Ecnomus or Eknomos (Ancient Greek: Ἔκνομος) was a naval battle, fought off southern Sicily, in 256 BC, between the fleets of Carthage and the Roman Republic, during the First Punic "
Gettysburg,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Gettysburg (locally  ) was a three-day battle in the American Civil War, which was fought between the Union and Confederate armies between July 1 and July 3, 1863, in and around Gettysbu"
Dorylaeum (1147),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The second Battle of Dorylaeum took place near Dorylaeum in October 1147, during the Second Crusade. It was not a single clash but consisted of a series of encounters over a number of days. The German"
Broxton Bridge,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Broxton Bridge took place during the American Civil War on 2 February 1865 and coincided with the Battle of Rivers' Bridge along the Salkehatchie River in Bamberg County, South Carolina."
Kulevicha,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Kulevicha, also known as the Battle of Kulevcha or Kulewtscha, was fought during the Russo-Turkish War, 1828–1829, on 11 June 1829, between Russia and the Ottoman Empire. It ended with a"
Senussi campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Senussi campaign took place in North Africa from November 1915 to February 1917, during the First World War. The campaign was fought by the Kingdom of Italy and the British Empire against the Senu"
Dak To,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The battle of Dak To (Vietnamese: Chiến dịch Đắk Tô - Tân Cảnh) in Vietnam was a series of major engagements of the Vietnam War that took place between 3 and 23 November 1967, in Kon Tum Province, in "
List of battles during the Imjin War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"There were many recorded and unrecorded battles during the Imjin War. The major battles include:

1592
Siege of Busan
Battle of Tadaejin
Siege of Tongnae
Battle of Sangju
Battle of Chungju
Hamgyong ca"
Eswatini in World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Eswatini (known at the time as Swaziland) remained a British protectorate throughout World War II. As such, it fought alongside the Allies against the Axis. While no large scale battles or major milit"
Conclusion of the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The conclusion of the American Civil War commenced with the articles of surrender agreement of the Army of Northern Virginia on April 9, at Appomattox Court House, by General Robert E. Lee and conclud"
Olustee,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Olustee or Battle of Ocean Pond, was fought in Baker County, Florida, on February 20, 1864, during the American Civil War. It was the largest battle fought in Florida during the war.
Uni"
Diu,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Diu was a naval battle fought on 3 February 1509 in the Arabian Sea, in the port of Diu, India, between the Portuguese Empire and a joint fleet of the Sultan of Gujarat, the Mamlûk Burji"
Second Pocotaligo,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Second Battle of Pocotaligo, or Battle of Pocotaligo Bridge, or Battle of Yemassee, often referred to as simply the Battle of Pocotaligo, took place during the American Civil War on October 22, 18"
Castricum,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Castricum (October 6, 1799) saw a Franco-Dutch force defeat an Anglo-Russian force near Castricum, Netherlands, within the Anglo-Russian invasion of Holland. The battle was fought during"
List of wars and battles involving China,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The following is a list of wars and battles involving China, organized by date."
the Hyères Islands,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of the Hyères Islands was a naval engagement fought between a combined British and Neapolitan fleet and the French Mediterranean Fleet on 13 July 1795 during the French Revolutionary Wars. 
Pork Chop Hill,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Pork Chop Hill, known as Battle of Seokhyeon-dong Northern Hill (Chinese: 石峴洞北山戰鬥) in China, is a pair of related Korean War infantry battles that took place on April 16 and July 11, 195"
Seven Years' War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Seven Years' War, 1756 to 1763, was a global Great Power war fought primarily in Europe, with significant subsidiary campaigns in North America and South Asia. The warring states were Great Britai"
Battle (formation),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"A battle or bataille was a division of a medieval army. The word may be rendered as ""battalion"", but Abels and Bachrach et al. state this is not accurate because the bataille was a completely ad hoc f"
the Pusan Perimeter,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Pusan Perimeter, known in Korean as the Battle of the Naktong River Defense Line (Korean: 낙동강 방어선 전투), was a large-scale battle between United Nations Command (UN) and North Korean f"
Acre (1189–1191),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Acre was the first significant counterattack by Guy of Jerusalem against Saladin, leader of the Muslims in Syria and Egypt.  This pivotal siege formed part of what later became known as t"
Alesia,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Alesia or Siege of Alesia (September 52 BC) was the climactic military engagement of the Gallic Wars, fought around the Gallic oppidum (fortified settlement) of Alesia in modern France, "
Battles Without Honor and Humanity,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Battles Without Honor and Humanity (Japanese: 仁義なき戦い, Hepburn: Jingi Naki Tatakai), also known in the West as The Yakuza Papers, is a Japanese yakuza film series produced by Toei Company. Inspired by "
Preveza,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Preveza (also known as Prevesa) was a naval engagement that took place on 28 September 1538 near Preveza in the Ionian Sea in northwestern Greece between an Ottoman fleet and that of a H
Caesarea (1073),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Caesarea occurred in 1073 when the Seljuk Turks defeated a Byzantine force near Caesarea who were led by Isaac Komnenos and his brother, Alexios. Isaac was captured during the battle."
the Atlantic,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Atlantic, the longest continuous military campaign in World War II, ran from 1939 to the defeat of Nazi Germany in 1945, covering a major part of the naval history of World War II. A"
List of wars involving India,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a list of military operations conducted by the British Indian Empire (1858–1947) and the post-independence Dominion of India (1947–1950) and the modern Republic of India (since 1950), includin"
Mother of All Battles Medal,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Mother of All Battles Medal (Arabic: وسام أم المعارك, Wisam 'Um Al-M’aarik) is a medal awarded by Iraq to its military personnel who served in the Persian Gulf War."
Saragarhi,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Saragarhi was a last-stand battle fought before the Tirah Campaign between the British Indian Empire and Afghan tribesmen. On 12 September 1897, an estimated 12,000–24,000 Orakzai and Af"
Tara (Ireland),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Tara was fought between the Gaelic Irish of Meath, led by Máel Sechnaill mac Domnaill, and the Norse Vikings of Dublin, led by Amlaíb Cuarán. It took place near the Hill of Tara in Irela"
Sullivan's Island,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Sullivan's Island or the Battle of Fort Sullivan was fought on June 28, 1776, during the American Revolutionary War. It took place near Charleston, South Carolina, during the first Briti"
Okinawa,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Okinawa (Japanese: 沖縄戦, Hepburn: Okinawa-sen), codenamed Operation Iceberg, was a major battle of the Pacific War fought on the island of Okinawa by the United States Army and United Sta"
List of battles 1601–1800,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Historic battle
List of battles 1901–2000,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,This article lists all the battles that occurred in the years of the 20th century (1901-2000).
List of battles involving the Mughal Empire,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Mughal Empire was founded in 1526 by Babur. He defeated Ibrahim Lodi in the First Battle of Panipat, marking the beginning of Mughal dominance. Babur went on to defeat the powerful Rajput confeder"
Antioch,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Antioch took place during the First Crusade in 1097 and 1098, on the crusaders' way to Jerusalem through Syria. Two sieges took place in succession. The first siege, by the crusaders agai"
Masada,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Masada was the Roman Empire's defeat of the Sicarii, occurring from 72 to 73 AD – during the final period of the First Jewish–Roman War – on and around a hilltop in present-day Israel. Th"
Cynwit,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Cynwit or Countisbury Hill took place between West Saxons and Vikings in 878. The location of the fortress the battle is named for is not known with certainty but probably was at Countis
Danger Close: The Long Tan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Danger Close: The Battle of Long Tan is a 2019 Australian war film about the Battle of Long Tan during the Vietnam War. It is directed by Kriv Stenders and stars Travis Fimmel.
Banquan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Banquan (simplified Chinese: 阪泉之战; traditional Chinese: 阪泉之戰; pinyin: Bǎn Quán Zhī Zhàn) was a legendary battle in ancient Chinese history, said to have taken place c. 2500 BC. It was re"
War of the Worlds (2025 film),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,War of the Worlds is a 2025 American screenlife science fiction film based on H. G. Wells's 1898 novel The War of the Worlds. The film was directed by Rich Lee with a screenplay by Kenneth A. Golde an
Artillery of World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The artillery of World War I, improved over that used in previous wars, influenced the tactics, operations, and strategies that were used by the belligerents.  This led to trench warfare and encourage"
the Field of Blood,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"In the Battle of Ager Sanguinis, also known as the Battle of the Field of Blood, the Battle of Sarmada, or the Battle of Balat, Roger of Salerno's Crusader army of the Principality of Antioch was anni"
Close-quarters battle,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Close-quarters battle (CQB), also called close-quarters combat (CQC), is a close combat situation between multiple combatants involving ranged (typically firearm-based) or melee combat. It can occur b"
1966 in the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"At the beginning of 1966, the number of U.S. military personnel in South Vietnam totaled 184,300. South Vietnamese military forces totaled 514,000 including the army (ARVN) and the Regional Force and "
the Somme,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Somme (French: Bataille de la Somme; German: Schlacht an der Somme), also known as the Somme offensive, was a battle of the First World War fought by the armies of the British Empire"
Ashdown,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Ashdown was a West Saxon victory over a Danish Viking army on about 8 January 871. The location of Ashdown is not known, but may be Kingstanding Hill in Berkshire. Other writers place th"
North African campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The North African campaign of World War II took place in North Africa from 11 June 1940 to 13 May 1943, fought between the Allies and the Axis Powers. It included campaigns in the Libyan and Egyptian "
Men of War: Vietnam,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Men of War: Vietnam (Russian: Диверсанты: Вьетнам, or Saboteurs: Vietnam) is a real-time tactics and strategy game developed and published by 1C Company. It is the fourth game in the Men of War series"
Gurung Hill,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Gurung Hill, also known as Battle of No.16 Indian Post of Ngari(Chinese: 阿印16号据点作战)was an engagement during the Sino-Indian War of 1962. 
Gurung Hill is a mountain near the Line of Actua"
Western Front (World War II),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Western Front was a military theatre of World War II encompassing Denmark, Norway, Luxembourg, Belgium, the Netherlands, the United Kingdom, France, and Germany. The Italian front is considered a "
Machhiwara,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Machhiwarra was fought between Mughal Empire and Suri Empire in 1555.
First Panipat,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The First Battle of Panipat, on 21 April 1526 was fought between the invading forces of Babur against Ibrahim Khan Lodi, the Sultan of Delhi, in North India. Babur's forces, employing gunpowder firear"
Philippi,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Philippi was the final battle in the Liberators' civil war between the forces of Mark Antony and Octavian (of the Second Triumvirate) and the leaders of Julius Caesar's assassination, Br"
Levounion,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Levounion was the first decisive Byzantine victory of the Komnenian restoration. On 29 April 1091, an invading force of Pechenegs was crushed by the combined forces of the Byzantine Empi"
Forbie,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Forbie, also known as the Battle of La Forbie or the Battle of Hiribya, was fought on October 17–18, 1244 between the allied armies (drawn from the Kingdom of Jerusalem, the Crusading or"
Bibliography of American Civil War battles and campaigns,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The American Civil War bibliography comprises books that deal in large part with the American Civil War. There are over 60,000 books on the war, with more appearing each month. 
There is no complete b"
Bulgarian–Ottoman wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Bulgarian–Ottoman wars were fought between the kingdoms remaining from the disintegrating Second Bulgarian Empire, and the Ottoman Empire, in the second half of the 14th century. The wars resulted"
Blue & Gray: Four American Civil War Battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Blue & Gray: Four American Civil War Battles is a board wargame originally published by Simulations Publications, Inc. (SPI) in 1975 that simulates four American Civil War battles."
Philadelphia campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Philadelphia campaign (1777–1778) was a British military campaign during the American Revolutionary War designed to gain control of Philadelphia, the  Revolutionary-era capital where the Second Co"
al-Qadisiyyah,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of al-Qadisiyyah (Arabic: مَعْرَكَة ٱلْقَادِسِيَّة Maʿrakat al-Qādisīyah; Persian: نبرد قادسیه Nâbārd-e Qâdisiyeh) took place between the armies of the Rashidun Caliphate and the Sasanian E
Naval battles of the American Revolutionary War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The American Revolutionary War saw a series of battles involving naval forces of the British Royal Navy and the Continental Navy from 1775, and of the French Navy from 1778 onwards. Although the Briti"
Kargil War order of battle,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Kargil War order of battle (KWORBAT), is a deposition and systematic combatant structure of the Indian Army troops and the unified Pakistan Armed Forces combat commands, active in the Kargil regio"
Blarathon,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Blarathon, also known as the Battle of Ganzak, was fought in 591 near Ganzak between a combined Byzantine–Persian force and a Persian army led by the usurper Bahram Chobin."
Naval warfare,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Naval warfare is combat in and on the sea, the ocean, or any other battlespace involving a major body of water such as a large lake or wide river.
The armed forces branch designated for naval warfare "
Bangui (2013),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Bangui occurred in March 2013, during the ongoing Central African Republic Civil War, and resulted in Séléka taking power in the Central African Republic. With the Central African Armed "
2020–2021 China–India skirmishes order of battle: China,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Chinese order of battle in the 2020–2021 China–India skirmishes.
Leuctra,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Leuctra (Ancient Greek: Λεῦκτρα, Ancient Greek: [lêu̯k.tra]) was fought on 6 July 371 BC between the Boeotians led by the Thebans, and the Spartans along with their allies amidst the pos"
Iraqi Kurdish Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Iraqi Kurdish Civil War (Kurdish: شەڕی براکوژی, romanized: Şerî birakujî, 'fratricidal war') was a civil war that took place between rival Kurdish factions in Iraqi Kurdistan during the mid-1990s,"
Lalakaon,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Lalakaon (Greek: Μάχη τοῦ Λαλακάοντος), or Battle of Poson or Porson (Μάχη τοῦ Πό(ρ)σωνος), was fought in 863 between the Byzantine Empire and an invading Arab army in Paphlagonia (moder"
Hengyang,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Hengyang (Chinese: 衡陽保衛戰) 23 June – 8 August 1944 was fought between Chinese and Japanese forces in mainland China during World War II.  Although the city fell, Japanese casualties far e"
Khartoum (2023–2025),d,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Khartoum was a major strategic battle for control of Khartoum, the capital of Sudan, with fighting in and around the city between the paramilitary Rapid Support Forces (RSF), and the Sud"
Four Pests campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Four Pests campaign (Chinese: 除四害; pinyin: Chú Sì Hài) was one of the first campaigns of the Great Leap Forward in Maoist China from 1958 to 1962. Authorities targeted four ""pests"" for elimination"
Callinicum,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Callinicum took place on Easter Saturday, 19 April 531 AD, between an army of the Byzantine Empire under Belisarius and a Sasanian cavalry force commanded by Azarethes. After being defea"
Kulikovo,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Kulikovo (Russian: Куликовская битва, romanized: Kulikovskaya bitva) was fought between the forces of Mamai, a powerful Mongol military commander of the Golden Horde, and Russian forces "
New Battles Without Honor and Humanity (2000 film),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"New Battles Without Honor and Humanity (Japanese: 新・仁義なき戦い。, Hepburn: Shin Jingi Naki Tatakai.), also known as Another Battle, is a 2000 Japanese yakuza film directed by Junji Sakamoto. It is a remake"
Mansurah (1250),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Mansurah was fought from 8 to 11 February 1250, between Crusaders led by Louis IX, King of France, and Ayyubid forces led by Sultana Shajar al-Durr, vizier Fakhr ad-Din ibn as-Shaikh, Fa"
Tamburlaine the Great: The Angorra,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Tamburlaine the Great, subtitled ""The Battle of Angorra, 1402"", is a board wargame published by Simulations Publications Inc. (SPI) in 1979 that was one of the games in the Great Medieval Battles ""qua"
Verdun (1792),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The first Battle of Verdun was fought between 29 August and 2 September 1792 between French Revolutionary forces and a Prussian army during the opening months of the War of the First Coalition. The Pr
Tillyria,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Tillyria (Greek: Μάχη της Τηλλυρίας) or Battle of Kokkina (Greek: Μάχη των Κοκκίνων), also known as Erenköy Resistance (Turkish: Erenköy Direnişi), was a conflict on 6 August 1964 betwee"
Firaz,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Firaz (Arabic: مَعْرَكَة الْفِرَاض) also known as Battle of Firad, took place around January 634 between the Rashidun Caliphate and the combined armies of the Sasanian Empire and the Byz"
